Age,Annual_Income,Spending_Score,Online_Visits_Per_Month,Loyalty_Member,Purchased
56,58467,12,4,1,0
46,43328,61,17,0,0
32,111412,19,27,1,0
60,106831,76,41,1,1
25,23987,9,21,0,0
38,78871,71,20,1,1
56,42399,28,5,1,0
36,66214,78,0,1,0
40,119522,95,4,0,0
28,106416,52,40,0,1
28,90271,83,11,0,1
41,64064,16,25,1,0
53,90091,69,45,1,1
57,60818,99,33,0,1
41,65525,12,48,1,0
20,39830,25,13,1,0
39,37429,52,25,1,0
19,26893,85,44,1,0
41,99909,53,26,1,1
61,67333,23,8,0,0
47,23436,16,25,1,0
55,94290,57,46,0,1
19,96213,39,21,1,0
38,25895,53,46,0,0
50,39738,42,29,1,0
29,50746,58,42,0,1
39,69377,39,47,1,0
61,68404,14,16,0,0
42,74045,95,25,1,1
44,117888,5,35,0,0
59,59790,35,0,1,0
45,25600,87,7,0,0
33,114660,93,48,0,1
32,113179,75,34,1,1
64,60764,18,14,1,0
61,94543,76,46,0,1
20,65714,9,21,1,0
54,76835,74,13,0,1
24,93744,58,25,0,1
38,76491,17,27,0,0
26,38589,7,22,1,0
56,63484,46,13,0,1
35,102989,13,23,0,0
21,56212,40,1,1,0
42,63525,42,44,1,1
31,67202,9,25,1,0
26,52635,50,13,1,1
43,83208,27,6,0,0
19,53828,66,2,0,0
37,38711,5,46,0,0
45,23420,29,22,0,0
64,116752,37,45,1,0
24,20301,38,42,0,0
61,65236,83,46,0,1
25,86235,8,44,1,0
64,74240,65,17,0,1
52,85726,86,37,0,1
31,30492,17,34,0,0
34,26102,71,14,0,0
53,70336,89,24,0,1
57,105314,45,36,0,1
21,46641,4,27,1,0
19,54584,36,9,1,0
23,52745,70,38,0,1
59,43093,31,16,0,0
21,86105,19,38,1,0
46,71885,61,21,0,1
35,56631,54,25,0,1
43,92991,39,43,0,0
61,24014,91,24,1,0
51,31093,74,16,0,0
27,38070,90,12,1,0
53,55777,19,19,0,0
31,76958,39,24,1,0
48,102074,67,3,1,0
32,30729,45,9,0,0
25,119713,13,2,1,0
31,65017,92,40,0,1
40,86320,58,44,1,1
57,47751,20,17,0,0
38,98069,92,46,0,1
33,74748,72,35,1,1
62,25801,61,46,0,0
35,39190,39,21,0,0
64,69689,1,33,1,0
41,70993,3,46,0,0
43,49592,77,7,0,0
42,30647,92,39,1,0
62,28716,62,48,1,0
58,108891,63,43,0,1
46,107545,25,18,0,0
32,109912,56,41,1,1
62,90316,33,40,1,0
18,22368,38,36,0,0
42,97575,6,5,1,0
24,26655,58,25,0,0
26,90031,44,33,0,1
41,96429,45,44,0,1
18,111083,32,5,0,0
61,107922,45,36,0,1
25,75766,61,32,1,1
41,33403,47,21,1,0
28,52097,21,20,1,0
34,98657,80,5,1,0
25,30966,85,5,0,0
52,119157,75,47,0,1
52,113848,36,3,0,0
50,72921,99,29,0,1
22,69726,19,10,1,0
59,70300,20,29,0,0
56,42677,57,30,0,0
58,75609,18,23,1,0
45,116825,47,8,1,0
24,76661,49,2,1,0
26,51024,14,30,1,0
25,90313,15,39,0,0
29,73006,31,36,0,0
51,115285,1,35,1,0
50,35338,54,23,0,0
40,88027,3,30,0,0
41,112772,16,5,0,0
54,100135,87,1,1,0
52,39508,57,19,0,0
61,23051,75,27,1,0
57,68747,12,10,0,0
39,107142,74,3,0,0
44,107235,96,14,0,1
52,74021,16,5,1,0
18,86412,72,48,0,1
52,78335,76,29,1,1
54,76179,24,37,1,0
64,52093,28,1,1,0
31,89678,8,14,0,0
20,100738,92,10,0,0
18,59734,36,7,0,0
22,92615,90,25,0,1
43,93523,8,44,1,0
31,114476,58,43,1,1
56,37019,60,4,1,0
44,103613,50,5,0,0
26,111794,28,25,1,0
32,106672,92,3,0,0
32,93847,41,18,1,1
43,102750,64,19,0,1
59,99634,27,32,0,0
30,48251,63,19,1,0
49,45945,17,48,1,0
56,110852,73,11,1,1
49,52217,33,46,1,0
21,28308,84,0,0,0
47,25949,77,25,1,0
54,71990,92,13,1,1
40,21150,29,37,1,0
56,109480,13,36,0,0
62,94740,46,10,0,0
32,86617,35,35,1,0
60,114841,6,12,0,0
46,36896,82,42,1,0
53,66175,69,2,0,0
30,27805,47,32,0,0
49,25237,25,5,0,0
24,40056,66,49,0,0
39,65543,10,9,1,0
45,76556,56,4,1,0
19,23343,30,22,1,0
59,33500,5,9,0,0
62,73222,33,43,1,0
23,49375,65,1,1,0
45,29662,18,12,1,0
45,36964,96,39,0,0
61,79638,49,1,0,0
61,93666,11,19,0,0
37,105067,85,0,1,0
47,87215,26,36,1,0
28,89042,63,8,1,0
45,33284,89,16,0,0
42,92789,86,8,0,0
56,104664,59,10,1,0
50,113468,27,14,0,0
18,81389,49,23,0,1
44,29435,77,37,0,0
30,74340,33,34,0,0
58,64078,98,29,1,1
20,98832,99,30,0,1
56,71293,1,48,0,0
23,115981,21,4,0,0
25,98781,55,43,0,1
44,80403,6,49,1,0
26,49124,92,13,1,0
54,115435,81,10,0,0
50,63919,69,8,0,0
59,55247,95,33,0,1
61,114758,5,11,0,0
41,111747,3,34,0,0
32,82752,53,34,0,1
49,76573,23,0,1,0
49,79101,53,39,0,1
41,46646,37,21,1,0
58,43049,74,28,1,0
29,99605,74,7,0,0
56,118116,83,10,1,0
19,117379,17,40,1,0
20,88385,85,36,1,1
54,60158,78,13,1,1
34,85417,73,29,1,1
19,43289,1,34,1,0
19,29823,51,20,0,0
45,80160,45,36,1,1
40,61975,77,4,1,0
54,29540,4,18,1,0
49,36364,62,13,0,0
50,24611,65,25,1,0
18,47663,32,3,0,0
36,71991,34,24,1,0
19,77679,92,44,0,1
61,50977,95,41,0,1
43,114704,72,24,1,1
49,69115,39,17,1,0
23,111007,26,39,0,0
49,108223,34,7,1,0
21,80890,54,38,0,1
28,86387,3,39,0,0
34,38071,50,13,0,0
55,79275,12,31,0,0
41,92369,65,37,0,1
22,31938,54,32,1,0
51,55195,5,22,0,0
23,111680,94,14,0,1
39,24000,94,32,1,0
28,90588,57,24,0,1
33,113610,17,16,1,0
50,117856,47,32,1,1
26,58304,23,46,1,0
23,89449,79,1,0,0
33,102986,85,13,0,1
46,109643,14,39,0,0
20,40764,66,39,1,0
37,106027,75,38,0,1
53,58494,51,5,1,0
36,23373,38,5,0,0
43,32161,64,2,1,0
20,117532,98,6,0,0
36,112658,38,7,0,0
37,47350,50,41,0,0
49,113008,98,14,1,1
24,114297,82,46,1,1
58,45351,30,28,0,0
50,108668,79,32,0,1
57,35305,91,29,1,0
56,95353,51,38,1,1
35,96797,63,26,1,1
57,85953,98,35,0,1
18,77458,52,28,1,1
28,40358,38,37,0,0
45,23267,97,32,1,0
42,102745,88,36,0,1
40,109588,79,26,1,1
48,58513,30,32,1,0
47,46092,51,3,1,0
59,31338,81,21,1,0
52,20412,5,1,1,0
24,27543,29,9,0,0
33,53496,4,4,1,0
43,80692,10,9,1,0
19,109084,56,32,1,1
18,112920,17,37,0,0
29,64425,74,12,1,1
22,58756,17,30,0,0
54,38888,84,46,1,0
49,55735,88,35,1,1
26,67295,69,44,0,1
58,103042,34,23,1,0
52,105999,6,14,0,0
36,37955,53,28,0,0
33,57841,66,7,1,0
20,90640,77,4,0,0
37,85510,43,28,1,1
41,54911,75,46,1,1
50,79031,23,3,0,0
41,108726,55,11,0,1
28,27357,80,44,0,0
25,52479,95,1,0,0
53,81476,75,26,1,1
55,64811,16,30,1,0
57,56208,8,35,0,0
37,40150,4,35,1,0
52,91180,4,25,1,0
42,63286,56,42,1,1
52,88450,25,26,1,0
42,41352,67,4,0,0
46,75069,96,19,0,1
35,34397,67,10,1,0
63,61555,27,9,0,0
35,66959,93,39,0,1
19,20728,32,37,0,0
52,70517,50,5,1,0
33,86234,61,7,1,0
58,59954,51,22,1,1
53,67280,19,46,0,0
50,99459,21,25,1,0
